id,side,entry,sl,tp,qty,ml_label,ml_conf,ml_hold_prob,ml_buy_prob,ml_sell_prob,renko_signal,open_ts,status,exit,pnl,close_ts
1,BUY,72110.48,72081.6406,72249.6618,3.467475,BUY,0.8797,0.1043,0.8797,0.016,1,2026-04-10 06:16:59 UTC,SL,72081.6406,-99.9999,2026-04-10 06:18:59 UTC
3,SELL,71875.32,71971.344,71812.3743,1.030992,SELL,0.9576,0.0387,0.0037,0.9576,-1,2026-04-10 06:49:59 UTC,TP,71812.3743,64.8965,2026-04-10 06:56:59 UTC
2,SELL,71923.86,71981.4964,71794.031,1.717663,SELL,0.9668,0.0314,0.0018,0.9668,-1,2026-04-10 06:43:59 UTC,TP,71794.031,223.0025,2026-04-10 07:04:59 UTC
4,SELL,71714.78,71757.0574,71637.323,2.409774,SELL,0.979,0.0198,0.0012,0.979,-1,2026-04-10 07:40:59 UTC,TP,71637.323,186.6539,2026-04-10 07:49:59 UTC
5,BUY,71629.99,71555.7644,71742.2583,1.397705,BUY,0.8664,0.1041,0.8664,0.0295,1,2026-04-10 08:18:59 UTC,TP,71742.2583,156.918,2026-04-10 08:39:59 UTC
6,BUY,71646.32,71567.4962,71753.9901,1.316171,BUY,0.8707,0.0992,0.8707,0.0301,1,2026-04-10 08:20:59 UTC,SL,71567.4962,-103.7456,2026-04-10 08:49:59 UTC
7,BUY,71851.48,71763.4427,71899.6589,1.184466,BUY,0.9724,0.0265,0.9724,0.0011,1,2026-04-10 09:37:59 UTC,SL,71763.4427,-104.2772,2026-04-10 09:46:59 UTC
9,BUY,71787.41,71777.4174,71861.0465,10.331122,BUY,0.9592,0.0366,0.9592,0.0042,1,2026-04-10 09:59:59 UTC,SL,71777.4174,-103.2348,2026-04-10 10:00:59 UTC
8,BUY,71806.45,71763.9812,71850.3687,2.430834,BUY,0.9474,0.0441,0.9474,0.0085,1,2026-04-10 09:56:59 UTC,SL,71763.9812,-103.2346,2026-04-10 10:06:59 UTC
10,SELL,71729.27,71782.4477,71677.4579,1.902486,SELL,0.8341,0.1473,0.0186,0.8341,-1,2026-04-10 10:06:59 UTC,SL,71782.4477,-101.1698,2026-04-10 10:13:59 UTC
11,SELL,71764.01,71793.2761,71688.2863,3.45689,SELL,0.7957,0.1837,0.0206,0.7957,-1,2026-04-10 10:08:59 UTC,SL,71793.2761,-101.1697,2026-04-10 10:14:59 UTC
12,BUY,71791.57,71746.7909,71840.5703,2.236714,BUY,0.9334,0.0551,0.9334,0.0114,1,2026-04-10 10:13:59 UTC,SL,71746.7909,-100.158,2026-04-10 10:24:59 UTC
13,BUY,71810.4,71755.9267,71849.7061,1.82009,BUY,0.9396,0.0497,0.9396,0.0107,1,2026-04-10 10:15:59 UTC,SL,71755.9267,-99.1463,2026-04-10 10:24:59 UTC
14,BUY,71738.43,71749.4466,71843.2261,8.818797,BUY,0.9383,0.051,0.9383,0.0107,1,2026-04-10 10:24:59 UTC,SL,71749.4466,97.1532,2026-04-10 10:27:59 UTC
15,SELL,71737.75,71778.322,71693.1552,2.418536,SELL,0.8175,0.1653,0.0173,0.8175,-1,2026-04-10 10:27:59 UTC,SL,71778.322,-98.1248,2026-04-10 10:40:59 UTC
16,SELL,71744.98,71783.7211,71706.4217,2.532838,SELL,0.8134,0.1672,0.0194,0.8134,-1,2026-04-10 10:31:59 UTC,SL,71783.7211,-98.1249,2026-04-10 10:41:59 UTC
17,SELL,71781.83,71785.4736,71708.1741,26.66173,SELL,0.812,0.1691,0.0189,0.812,-1,2026-04-10 10:40:59 UTC,SL,71785.4736,-97.1447,2026-04-10 10:41:59 UTC
18,BUY,71800.01,71755.8548,71841.3261,2.155827,BUY,0.8443,0.1334,0.8443,0.0223,1,2026-04-10 10:44:59 UTC,TP,71841.3261,89.0704,2026-04-10 10:51:59 UTC
19,BUY,71810.01,71758.7478,71844.2191,1.856941,BUY,0.8441,0.1336,0.8441,0.0223,1,2026-04-10 10:47:59 UTC,TP,71844.2191,63.5243,2026-04-10 10:51:59 UTC
20,BUY,72222.64,72166.3982,72295.3403,1.719663,BUY,0.9628,0.0349,0.9628,0.0022,1,2026-04-10 11:37:59 UTC,SL,72166.3982,-96.7169,2026-04-10 11:45:59 UTC
21,BUY,72205.37,72163.883,72292.8252,2.33126,BUY,0.9658,0.032,0.9658,0.0022,1,2026-04-10 11:38:59 UTC,SL,72163.883,-96.717,2026-04-10 11:45:59 UTC
22,BUY,72167.99,72108.1961,72278.5394,1.585154,BUY,0.8754,0.1108,0.8754,0.0138,1,2026-04-10 11:47:59 UTC,SL,72108.1961,-94.7825,2026-04-10 11:57:59 UTC
23,BUY,72178.93,72117.0378,72250.0596,1.516099,BUY,0.9596,0.0377,0.9596,0.0027,1,2026-04-10 12:04:59 UTC,SL,72117.0378,-93.8347,2026-04-10 12:12:59 UTC
24,BUY,72131.83,72117.7847,72250.8065,6.680855,BUY,0.9626,0.0347,0.9626,0.0027,1,2026-04-10 12:07:59 UTC,SL,72117.7847,-93.8346,2026-04-10 12:12:59 UTC
25,SELL,72100.01,72167.8964,72055.7236,1.354588,SELL,0.6921,0.2863,0.0216,0.6921,-1,2026-04-10 12:13:59 UTC,SL,72167.8964,-91.9581,2026-04-10 12:18:59 UTC
26,SELL,72109.99,72158.1776,72051.6432,1.908335,SELL,0.6376,0.3383,0.0241,0.6376,-1,2026-04-10 12:15:59 UTC,SL,72158.1776,-91.9581,2026-04-10 12:18:59 UTC
27,BUY,72193.21,72123.8617,72238.7029,1.299511,BUY,0.8986,0.0829,0.8986,0.0186,1,2026-04-10 12:20:59 UTC,TP,72238.7029,59.1185,2026-04-10 12:21:59 UTC
28,BUY,72311.47,72256.8431,72536.0542,1.660537,BUY,0.9679,0.0316,0.9679,0.0005,1,2026-04-10 12:51:59 UTC,SL,72256.8431,-90.71,2026-04-10 12:54:59 UTC
29,BUY,72736.3,72328.3381,72831.7716,0.220126,BUY,0.9681,0.031,0.9681,0.0009,1,2026-04-10 14:12:59 UTC,TP,72831.7716,21.0158,2026-04-10 14:20:59 UTC
30,BUY,73065.78,72858.9709,73287.2507,0.435247,BUY,0.9741,0.0247,0.9741,0.0012,1,2026-04-10 14:30:59 UTC,SL,72858.9709,-90.013,2026-04-10 14:42:59 UTC
31,BUY,73017.85,72876.3909,73304.6707,0.636319,BUY,0.9753,0.0235,0.9753,0.0012,1,2026-04-10 14:32:59 UTC,SL,72876.3909,-90.0131,2026-04-10 14:42:59 UTC
32,BUY,72725.65,72628.9156,72967.8412,0.911908,BUY,0.936,0.0542,0.936,0.0098,1,2026-04-10 16:28:59 UTC,TP,72967.8412,220.8561,2026-04-10 16:57:59 UTC
33,BUY,72738.57,72605.2167,72944.1423,0.661498,BUY,0.8861,0.0921,0.8861,0.0219,1,2026-04-10 16:31:59 UTC,TP,72944.1423,135.9857,2026-04-10 16:57:59 UTC
34,BUY,72983.56,72893.3961,73127.2961,1.017938,BUY,0.9698,0.0288,0.9698,0.0014,1,2026-04-10 17:25:59 UTC,SL,72893.3961,-91.7813,2026-04-10 17:35:59 UTC
35,BUY,72987.76,72893.3961,73127.2961,0.972631,BUY,0.9698,0.0288,0.9698,0.0014,1,2026-04-10 17:28:59 UTC,SL,72893.3961,-91.7813,2026-04-10 17:35:59 UTC
36,BUY,72981.97,72907.0511,73099.986,1.200574,BUY,0.9611,0.0363,0.9611,0.0026,1,2026-04-10 17:47:59 UTC,TP,73099.986,141.6869,2026-04-10 17:50:59 UTC
37,BUY,73009.29,72907.0511,73099.986,0.87976,BUY,0.9611,0.0363,0.9611,0.0026,1,2026-04-10 17:48:59 UTC,TP,73099.986,79.7907,2026-04-10 17:50:59 UTC
38,SELL,72686.08,72733.0708,72667.2982,1.961242,SELL,0.9728,0.0232,0.004,0.9728,-1,2026-04-11 06:01:59 UTC,TP,72667.2982,36.8357,2026-04-11 06:02:59 UTC
39,SELL,72678.62,72733.0708,72667.2982,1.699308,SELL,0.9728,0.0232,0.004,0.9728,-1,2026-04-11 06:10:59 UTC,SL,72733.0708,-92.5287,2026-04-11 07:05:59 UTC
40,SELL,72686.09,72724.0995,72658.3269,2.434359,SELL,0.9742,0.0221,0.0037,0.9742,-1,2026-04-11 06:16:59 UTC,SL,72724.0995,-92.5288,2026-04-11 07:05:59 UTC
41,SELL,72769.96,72724.0995,72658.3269,1.977262,SELL,0.9759,0.0204,0.0037,0.9759,-1,2026-04-11 07:05:59 UTC,SL,72724.0995,90.6782,2026-04-11 07:06:59 UTC
42,SELL,72754.09,72733.0713,72667.2987,4.357314,SELL,0.9728,0.0232,0.004,0.9728,-1,2026-04-11 07:10:59 UTC,SL,72733.0713,91.5851,2026-04-11 07:11:59 UTC
43,SELL,72758.34,72728.0957,72662.3231,3.058456,SELL,0.9756,0.0205,0.004,0.9756,-1,2026-04-11 07:14:59 UTC,SL,72728.0957,92.5009,2026-04-11 07:15:59 UTC
44,SELL,72754.36,72775.8554,72711.5336,4.346326,SELL,0.9561,0.0354,0.0085,0.9561,-1,2026-04-11 07:43:59 UTC,TP,72711.5336,186.1375,2026-04-11 07:48:59 UTC
45,SELL,72725.18,72777.7008,72713.379,1.778836,SELL,0.9562,0.0353,0.0085,0.9562,-1,2026-04-11 07:45:59 UTC,TP,72713.379,20.992,2026-04-11 07:48:59 UTC
46,SELL,72716.65,72724.5304,72667.124,12.118375,SELL,0.9563,0.036,0.0077,0.9563,-1,2026-04-11 08:03:59 UTC,SL,72724.5304,-95.4976,2026-04-11 08:05:59 UTC
47,SELL,72716.65,72757.143,72692.659,2.358359,SELL,0.958,0.034,0.008,0.958,-1,2026-04-11 08:04:59 UTC,TP,72692.659,56.5794,2026-04-11 08:50:59 UTC
48,SELL,72661.1,72694.721,72629.0927,2.828823,SELL,0.9646,0.03,0.0054,0.9646,-1,2026-04-11 08:51:59 UTC,SL,72694.721,-95.1079,2026-04-11 10:55:59 UTC
49,SELL,72669.28,72702.5617,72636.9333,2.857668,SELL,0.9658,0.0289,0.0053,0.9658,-1,2026-04-11 09:01:59 UTC,SL,72702.5617,-95.108,2026-04-11 10:55:59 UTC
50,BUY,72931.03,72847.7649,72935.9018,1.119386,BUY,0.9486,0.0459,0.9486,0.0054,1,2026-04-11 12:06:59 UTC,TP,72935.9018,5.4534,2026-04-11 12:07:59 UTC
51,BUY,72934.67,72904.3355,72987.8225,3.074399,BUY,0.9378,0.0584,0.9378,0.0038,1,2026-04-11 12:16:59 UTC,SL,72904.3355,-93.2604,2026-04-11 12:18:59 UTC
